,text,dict,entities,biluo,has_entity
0,"• spambase dataset (spam) 15, a dataset of e-mailspams with 4601 samples composed by 55 contin-","{'entities': [(2, 18, 'DATASET_NAME')]}","[(2, 18, 'DATASET_NAME')]","['O', 'B-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
1,"• buzz in social media dataset 15 (buzz), com-posed by 1000 samples with 77 features, of which","{'entities': [(2, 30, 'DATASET_NAME')]}","[(2, 30, 'DATASET_NAME')]","['O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
2,"requiring to distinguish different subclasses fromsubtle inter-class differences. as for other visual tasks,the performance of fine-grained classification has beengreatly boosted by the use of deep neural networks[1–4]. however, there are relatively small differencesbetween dogs of different breeds while there can berelatively large differences between those within abreed due to geographic isolation or hybridization.see, for example, fig. 1: great dane dogs havemultiple colors, while dogs of different breeds, suchas norwich terriers and australian terriers, mayhave similar colors. existing datasets, such as thewidely used stanford dogs dataset [5], are not diverseenough to cover such variations, limiting their use fortraining and testing algorithms.this paper contributes a new dataset, tsinghua","{'entities': [(630, 651, 'DATASET_NAME')]}","[(630, 651, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
3,"the method is evaluated on the oxford flower dataset available at [1]. the datasethas 17 flower classes (e.g. buttercup, daffodil, iris, pansy), with photographs exhibitingtypical (large) variations in viewpoint, scale, illumination and background. segmentingsuch photographs is challenging due to both the variety of colours and the variety ofshapes. if we knew that we were looking for a daffodil or a bluebell, we could buildone foreground and one background colour model for each of these classes – thoughthis would still give problems with the sky being segmented as foreground in a bluebellphotograph for example. but here we do not wish even to specify the flower class inadvance. shape also poses a challenge because of the many different types and whorls ofpetals. even on the same flower there are local deformations of the petal shape.","{'entities': [(31, 52, 'DATASET_NAME')]}","[(31, 52, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
4,"previous work on segmenting flowers using colour by das et al. [4] has exploited do-main knowledge on the precise colour of flowers. for example, a flower is rarely brownor green (this is not valid for the sunflower class in the oxford flower dataset). in ad-dition [4] learn an image specific background colour model from the periphery of theimage. again, this method is not applicable in our case since the flowers often reachthe image periphery and so the background model would be corrupted with foregroundcolours. saitoh et al. [12] have also proposed a method for extracting flowers regions.it is based on ”intelligent scissors” [10], which find the path between two points thatminimizes a cost function dependant on image gradients. the method works under theassumption that the flower is in focus and in the centre of the photograph and that thebackground is out of focus. under this assumption the cost between any two points onthe flower is smaller than the cost between a point in the background and a point in theforeground. by fixing the midpoint of the image as part of the flower this can be usedas a starting point for finding the flower region. this method requires no prior colourinformation. unfortunately these assumptions do not apply in our case.","{'entities': [(229, 250, 'DATASET_NAME')]}","[(229, 250, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
5,"2011 birds and stanford dogs dataset, outperforming the","{'entities': [(15, 36, 'DATASET_NAME')]}","[(15, 36, 'DATASET_NAME')]","['O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O']",True
6,4.2.1 face recognition grand challenge dataset ............................................ 38,"{'entities': [(6, 46, 'DATASET_NAME')]}","[(6, 46, 'DATASET_NAME')]","['O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O']",True
7,"each breed. therefore, we also added data fromthe stanford dogs dataset and by using an imagesearch engine. we integrated 18,000 pictures withonly one dog from stanford dogs into our dataset.we also crawled and manually selected more than6000 pictures using baidu image search to ensure thatour dataset contained no fewer than 200 pictures perbreed.we removed duplicate images in the dataset by","{'entities': [(50, 71, 'DATASET_NAME')]}","[(50, 71, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
8,the six benchmark datasets are retrieved from the uci repository. all the datasets are alreadystemmed andwith stopwords removed.a summary of our datasets is reported intable 1.carfand carr are the subsets of the opinrank review dataset [19]. carf contains full reviewstext about 12 types of toyota cars. carr contains textual descriptions of users’ favoriteson 12 types of toyota cars. cnae is a collection of business descriptions of 9 types ofbrazilian companies. imdb contains positive or negative reviews of movies extracted fromthe internet movie database. it is a subset of the sentiment labelled sentences dataset [30].kdc [50] is a collection of kurdish sorani news and articles. ttc [29] contains turkishnews and articles from six well-known portals in turkey.,"{'entities': [(212, 235, 'DATASET_NAME')]}","[(212, 235, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
9,"3 experimental procedurefor the experiments we exclude images in the oxford flower dataset that contain fieldsof flowers or very small flowers, that are too subsampled, or where there is no clearforeground region. following these criteria, four of the classes (snowdrops, lily of thevalley’s, cowslips and bluebells) have insufficient images and are removed. this leaves13 flower classes with a total of 753 images.","{'entities': [(69, 90, 'DATASET_NAME')]}","[(69, 90, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
